Time,MeanFitness,MedianFitness,MeanAge,MedianAge,MeanGen,MedianGen,MeanChilds,MedianChilds,MeanFoodEaten,MedianFoodEaten,MeanPoisonEaten,MedianPoisonEaten,MeanMaxVel_MaxHP,MedianMaxVel_MaxHP,MeanFoodAttraction,MedianFoodAttraction,MeanPoisonAttraction,MedianPoisonAttraction,MeanFoodDistance,MedianFoodDistance,MeanPoisonDistance,MedianPoisonDistance,MeanMaxSteerForce,MedianMaxSteerForce,MeanDirAngleMult,MedianDirAngleMult
20014,2.313843373559341,2.43823706804732,6.386086956521736,6.252999999999991,0.043478260869565216,0.0,0.043478260869565216,0.0,0.6521739130434783,0.0,1.0434782608695652,1.0,0.496730021689486,0.4993453867659914,0.4133569253956351,0.42199108104097993,0.6046304633129113,0.6786819149353279,0.4226676418948865,0.44255902642724,0.470370606834104,0.4907700739602934,0.5432248111607257,0.4792399010942969,0.37476693743111156,0.35474722939513104
40047,2.555626839032522,2.693139431964114,7.2818064516129075,7.130999999999997,0.06451612903225806,0.0,0.0967741935483871,0.0,0.6451612903225806,0.0,0.7741935483870968,0.0,0.49595310984794644,0.5015563089350895,0.3850136805663899,0.3732630835289068,0.5672159071824604,0.4933734117524895,0.4623646948854013,0.44879205860685323,0.3968057646385773,0.34971963847493426,0.5437353628067214,0.5162029292450825,0.37627508701619705,0.3595431801780109
60059,2.5863063723692568,2.7702094175919836,7.445281250000004,7.145999999999994,0.125,0.0,0.125,0.0,0.625,0.0,0.75,0.0,0.4875424081943269,0.5004508478505405,0.3762411464494757,0.33679539864608987,0.5624765746674351,0.48443531371341364,0.4668295837152857,0.452068940058994,0.3887814717627271,0.3407102245634894,0.5428749742579202,0.5162029292450825,0.3763395189889421,0.3609353899138414
80064,2.34067437372428,2.3537020843458367,6.544444444444446,4.940499999999992,0.12962962962962962,0.0,0.09259259259259259,0.0,0.4444444444444444,0.0,0.7222222222222222,0.0,0.5469291442037645,0.5438578943268189,0.4148766625852393,0.42146073959805025,0.5315364996508362,0.48443531371341364,0.4775368764974977,0.47382461212689264,0.4323628688334893,0.4143496164181946,0.5268445327103047,0.5162029292450825,0.46118215389084394,0.3823402934465157
100087,2.3620729051291742,2.3138712150852285,6.674362318840584,4.944999999999991,0.11594202898550725,0.0,0.07246376811594203,0.0,0.6231884057971014,0.0,0.8840579710144928,0.0,0.5145910776004115,0.51491062546037,0.42761009490979485,0.42093039815512057,0.5449294062539821,0.5082839404900895,0.4798006306800886,0.4756139727598545,0.45185596416125556,0.4370140598729887,0.5282422054451312,0.5162029292450825,0.49515607242615434,0.43926957942380895
120095,2.3932452453561175,2.434132288927615,6.600236559139788,5.414999999999992,0.0967741935483871,0.0,0.06451612903225806,0.0,0.6129032258064516,0.0,0.9032258064516129,0.0,0.5183095797712031,0.5212095367807771,0.45709702991165746,0.4506178320753229,0.5373005227475379,0.5074865964019288,0.481478644376189,0.47531736123706847,0.4399150740715967,0.4158964109107627,0.5444625691595022,0.542270550101237,0.5187081235938097,0.5160408338718502
140122,2.458919161923302,2.436184678487468,6.948800000000001,5.5664999999999925,0.1,0.0,0.09,0.0,0.7,0.0,0.91,0.0,0.49665172819462355,0.5004508478505405,0.4508557231380669,0.4225659034654628,0.5363911792181734,0.5057345903560565,0.49044337381743275,0.4769898621735647,0.44811898075152706,0.4302415803067913,0.5518811088127391,0.5531566371273182,0.5191783730074967,0.5088937379742258
160133,2.5120451989753705,2.4456083087853613,7.2267572815534,5.751999999999993,0.13592233009708737,0.0,0.10679611650485436,0.0,0.7087378640776699,0.0,0.883495145631068,0.0,0.483535774652332,0.4943858512339909,0.454185432030307,0.4506178320753229,0.5280972629201587,0.4933734117524895,0.49436238011432243,0.4896266690085771,0.45459319133559467,0.4370140598729887,0.5457248565674457,0.542270550101237,0.5172461106368337,0.5061263380797658
180139,2.567596449639059,2.5398794152051227,7.47592592592593,6.154499999999992,0.2222222222222222,0.0,0.1388888888888889,0.0,0.75,0.0,0.8611111111111112,0.0,0.475650643195831,0.49144250562019365,0.46616274765820226,0.46528320203800705,0.52651218970879,0.4873614878926289,0.5012761572489194,0.5055728042808059,0.46936074286300583,0.44543679941493414,0.5421677488269314,0.5353729764199412,0.5151886023869637,0.5047294154525618
200152,2.5879802667302436,2.5963435828102552,7.595191304347829,6.252999999999991,0.2608695652173913,0.0,0.1565217391304348,0.0,0.7652173913043478,0.0,0.8608695652173913,0.0,0.4669363006846441,0.4686865058217554,0.47431856948810613,0.4675016050463169,0.5224026330186003,0.4813495640327683,0.5059617928194884,0.5168178699775405,0.48368670473858233,0.4922550776452045,0.5239135594353479,0.5162029292450825,0.5042772753999397,0.4973567546641632
220165,2.672498050963993,2.6563132345414373,8.035181818181824,6.468999999999993,0.4628099173553719,0.0,0.18181818181818182,0.0,0.8181818181818182,0.0,0.8181818181818182,0.0,0.45131458260916785,0.4444304854733798,0.4750705492255663,0.4867123677325641,0.5127448892223674,0.4728965453390309,0.5101445802086331,0.5583496297280466,0.4920128450924037,0.5109239119070043,0.5131920283027755,0.5162029292450825,0.5066505011521254,0.47651049028543735
240183,2.7389687133718743,2.680201929231462,8.3476507936508,6.805999999999994,0.5714285714285714,0.0,0.19047619047619047,0.0,0.8809523809523809,0.0,0.7857142857142857,0.0,0.4431099225243083,0.42631576785134695,0.48125273669753665,0.5127794307630837,0.5062597977219829,0.46731955920938734,0.5090885296753613,0.5610543231998758,0.49564310700703956,0.5109569856112738,0.512927191576392,0.5162029292450825,0.5014336265771123,0.4584990712680692
