Time,MeanFitness,MedianFitness,MeanAge,MedianAge,MeanGen,MedianGen,MeanChilds,MedianChilds,MeanFoodEaten,MedianFoodEaten,MeanPoisonEaten,MedianPoisonEaten,MeanMaxVel_MaxHP,MedianMaxVel_MaxHP,MeanFoodAttraction,MedianFoodAttraction,MeanPoisonAttraction,MedianPoisonAttraction,MeanFoodDistance,MedianFoodDistance,MeanPoisonDistance,MedianPoisonDistance,MeanMaxSteerForce,MedianMaxSteerForce,MeanDirAngleMult,MedianDirAngleMult
40038,2.87883779757811,2.240089283934907,8.322066666666675,6.180000000000001,0.0,0.0,0.9333333333333333,0.0,1.3333333333333333,0.0,1.1333333333333333,1.0,0.4006134179912625,0.3282894722603287,0.6224425979534257,0.6208819307395774,0.5703632430333072,0.7137538134868248,0.5488251314484366,0.6645618000981022,0.45444607852924446,0.5095956440115066,0.5449980042871564,0.5730099963145445,0.5854804508002752,0.5193170972121921
60064,2.87883779757811,2.240089283934907,8.322066666666675,6.180000000000001,0.0,0.0,0.9333333333333333,0.0,1.3333333333333333,0.0,1.1333333333333333,1.0,0.4006134179912625,0.3282894722603287,0.6224425979534257,0.6208819307395774,0.5703632430333072,0.7137538134868248,0.5488251314484366,0.6645618000981022,0.45444607852924446,0.5095956440115066,0.5449980042871564,0.5730099963145445,0.5854804508002752,0.5193170972121921
80091,3.13943054075677,2.710111908308539,9.05696666666667,6.130000000000001,0.4666666666666667,0.0,0.9333333333333333,0.0,2.2,1.0,0.7333333333333333,0.0,0.5377978055381748,0.48275456030329705,0.7241189737082597,0.7992514218964865,0.4538432380855403,0.4745947425323595,0.5089262074087939,0.5659131539762701,0.4253809778159234,0.5095956440115066,0.521953681013789,0.4396616344887324,0.5584531558010362,0.45171336719662436
100101,3.3785730128582947,3.0548322376196055,10.288244444444446,7.018000000000003,0.9333333333333333,1.0,0.9333333333333333,0.0,2.3333333333333335,1.0,0.5777777777777777,0.0,0.5093897185682054,0.39419109129511654,0.7492701920253311,0.9138702756460958,0.3702064992681541,0.13420616577423894,0.5378553921818919,0.6597402593040894,0.4908517530468647,0.5449722791841854,0.485674095210639,0.3680127290864398,0.5543183142538274,0.45171336719662436
120123,3.6480521421573133,3.5721142089286726,11.468200000000005,11.603000000000005,1.4,1.0,0.9333333333333333,0.0,2.5166666666666666,1.0,0.4666666666666667,0.0,0.466577020080857,0.39419109129511654,0.7603984389727433,0.9152693972566104,0.30863617837989693,0.13420616577423894,0.5730502795064447,0.6645618000981022,0.5593045721379348,0.7577591862798312,0.46843872202204245,0.3680127290864398,0.5491240330036992,0.45171336719662436
140146,3.6480521421573133,3.5721142089286726,11.468200000000005,11.603000000000005,1.4,1.0,0.9333333333333333,0.0,2.5166666666666666,1.0,0.4666666666666667,0.0,0.466577020080857,0.39419109129511654,0.7603984389727433,0.9152693972566104,0.30863617837989693,0.13420616577423894,0.5730502795064447,0.6645618000981022,0.5593045721379348,0.7577591862798312,0.46843872202204245,0.3680127290864398,0.5491240330036992,0.45171336719662436
160156,3.9169321346462107,3.7128156431473966,12.734080000000015,12.74800000000002,1.8666666666666667,2.0,0.9333333333333333,1.0,3.0933333333333333,2.0,0.4533333333333333,0.0,0.44642815583031575,0.39419109129511654,0.7756349206115082,0.9152693972566104,0.2743822133551747,0.13420616577423894,0.5936948281882902,0.6766975428456329,0.6000659196293467,0.7577591862798312,0.45841137859401393,0.3680127290864398,0.545125703443933,0.45171336719662436
180168,3.9063852318440278,3.72436124711728,12.619355555555568,12.398000000000014,2.3333333333333335,2.0,0.9333333333333333,1.0,2.922222222222222,2.0,0.4666666666666667,0.0,0.42782408014017903,0.39419109129511654,0.7812315513062572,0.9152693972566104,0.2520036798010311,0.13420616577423894,0.6094127242752453,0.6825403721728467,0.6217697371265406,0.7577591862798312,0.441602105368055,0.3475735387658267,0.5367355272294192,0.45171336719662436
200172,3.937340220344677,3.73617451412538,12.64077142857144,12.564000000000012,2.8,3.0,0.9333333333333333,1.0,2.895238095238095,2.0,0.45714285714285713,0.0,0.4244683173514598,0.39419109129511654,0.7898358354915064,0.9273021041460074,0.23241634438473147,0.13420616577423894,0.6225800982603442,0.6825403721728467,0.6385925921464187,0.7577591862798312,0.4283286173358473,0.3278918054095402,0.5310641730777357,0.4737383751381993
220180,4.0041789281790106,3.7835009829688295,12.755508333333346,12.747000000000018,3.216666666666667,3.0,0.9333333333333333,1.0,3.033333333333333,2.0,0.475,0.0,0.4244475986372878,0.39419109129511654,0.7923060973252629,0.9212857507013089,0.22627675563828248,0.13420616577423894,0.6257387833430167,0.6825403721728467,0.649146511357651,0.7577591862798312,0.41922608567962694,0.3278918054095402,0.5271629727567092,0.48006878369482137
240203,4.028321793579412,3.92402854219997,12.803377777777792,12.758000000000026,3.5925925925925926,3.0,0.9333333333333333,1.0,3.074074074074074,2.0,0.4740740740740741,0.0,0.4266091049946103,0.39419109129511654,0.7956523446019749,0.9152693972566104,0.2280493844548778,0.13420616577423894,0.6262615362287041,0.6825403721728467,0.6563443219709233,0.7577591862798312,0.40983691821338075,0.3278918054095402,0.5226441367053862,0.48639919225144346
260235,4.069884239144851,3.9733928408388524,12.960520000000015,12.760000000000023,4.02,4.0,0.9333333333333333,1.0,3.14,2.0,0.4533333333333333,0.0,0.4271620819280436,0.39419109129511654,0.8019442306640729,0.9152693972566104,0.22447039246559938,0.13528517056938252,0.6301193908741755,0.6825403721728467,0.6677978675474902,0.7577591862798312,0.4049543144415515,0.3278918054095402,0.5161325647945515,0.48639919225144346
280251,4.069884239144851,3.9733928408388524,12.960520000000015,12.760000000000023,4.02,4.0,0.9333333333333333,1.0,3.14,2.0,0.4533333333333333,0.0,0.4271620819280436,0.39419109129511654,0.8019442306640729,0.9152693972566104,0.22447039246559938,0.13528517056938252,0.6301193908741755,0.6825403721728467,0.6677978675474902,0.7577591862798312,0.4049543144415515,0.3278918054095402,0.5161325647945515,0.48639919225144346
300257,4.104201172672375,4.106214801980044,13.103896969696983,12.762000000000022,4.503030303030303,4.0,0.9333333333333333,1.0,3.1575757575757577,2.0,0.4484848484848485,0.0,0.42038733210888746,0.39419109129511654,0.8111473264518654,0.9273021041460074,0.2219627198554652,0.1363641753645261,0.635041352368449,0.6825403721728467,0.6804262907891842,0.7577591862798312,0.40189307564478277,0.3278918054095402,0.5094768563445706,0.48639919225144346
320272,4.231315805889869,4.174288139544176,13.698655555555575,12.771000000000015,4.983333333333333,5.0,0.9388888888888889,1.0,3.5,2.5,0.4444444444444444,0.0,0.41527392074822844,0.39419109129511654,0.8203635692007863,0.9273021041460074,0.21510611692940246,0.1363641753645261,0.6392819805271462,0.6825403721728467,0.6876691854240222,0.7577591862798312,0.3928255159008784,0.3278918054095402,0.5090893962801559,0.48639919225144346
